"IncomeFeelings","UseECigNow"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Living comfortably on present income","Everyday"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Some days"
"Living comfortably on present income","Some days"
"Finding it very difficult on present income","Some days"
"Living comfortably on present income","Some days"
"Getting by on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Some days"
"Getting by on present income","Not at all"
"Living comfortably on present income","Some days"
"Finding it difficult on present income","Everyday"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Some days"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Some days"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it difficult on present income","Everyday"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Finding it very difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Some days"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Some days"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Some days"
"Finding it very difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Some days"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Some days"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Some days"
"Getting by on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Some days"
"Getting by on present income","Not at all"
"Living comfortably on present income","Some days"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Some days"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it very difficult on present income","Everyday"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Everyday"
"Living comfortably on present income","Some days"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Living comfortably on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Getting by on present income","Everyday"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Some days"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Everyday"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Some days"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Some days"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Some days"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Some days"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Some days"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Some days"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Some days"
"Living comfortably on present income","Some days"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Some days"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Some days"
"Finding it very difficult on present income","Everyday"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Some days"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Some days"
"Living comfortably on present income","Everyday"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it difficult on present income","Some days"
"Living comfortably on present income","Everyday"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Some days"
"Finding it difficult on present income","Everyday"
"Finding it very difficult on present income","Not at all"
"Finding it very difficult on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Some days"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Finding it difficult on present income","Some days"
"Finding it very difficult on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Some days"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Some days"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Some days"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Everyday"
"Finding it very difficult on present income","Some days"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Finding it difficult on present income","Some days"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Some days"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it very difficult on present income","Some days"
"Getting by on present income","Some days"
"Getting by on present income","Everyday"
"Getting by on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Everyday"
"Finding it very difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it very difficult on present income","Everyday"
"Finding it difficult on present income","Some days"
"Living comfortably on present income","Everyday"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Everyday"
"Finding it very difficult on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Some days"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Some days"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Some days"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Some days"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Some days"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Living comfortably on present income","Some days"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Living comfortably on present income","Some days"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Everyday"
"Finding it difficult on present income","Everyday"
"Getting by on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Everyday"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Living comfortably on present income","Not at all"
"Finding it very difficult on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Finding it difficult on present income","Everyday"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Everyday"
"Finding it difficult on present income","Some days"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Finding it very difficult on present income","Not at all"
"Finding it very difficult on present income","Some days"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Everyday"
"Finding it very difficult on present income","Not at all"
"Finding it difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Getting by on present income","Some days"
"Finding it very difficult on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
"Living comfortably on present income","Not at all"
"Getting by on present income","Not at all"
